"the funny thing is, i didn't mind all this contrived nonsense a bit.","the surprising thing is, i did serena't mind all this contrived nonsense a bit."
tackles the difficult subject of grief and loss with such life - embracing spirit that the theme doesn't drag an audience down.,tackles the difficult subject of grief and loss with such life sporting reluctant spirit that the theme doesn't drag an audience down.
"what a dumb, fun, curiously adolescent movie this is.","what a tyrant, fun, curiously adolescent as this is."
... begins on a high note and sustains it beautifully.,... wouldn on a high note and sustains it softly.
"a chronicle not only of one man's quest to be president, but of how that man single - handedly turned a plane full of hard - bitten, cynical journalists into what was essentially, by campaign's end, an extended publicity department.","a cool not only of one man's quest to be president, but of how that man single - handedly turned a plane full of hard - bitten, cynical journalists into what was gradually, by campaign's end, an extended publicity department."
it's hard to pity the ` plain'girl who becomes a ravishing waif after applying a smear of lip - gloss.,it's hard todge the bourgeois plain'girl who becomes a ravishing waif after applying a smear of lippit gloss.
a genuine mind - bender.,a genuine mind goes nemesis.
he nonetheless appreciates the art and reveals a music scene that transcends culture and race.,knowles truly appreciates the art and reveals a music collection that transcends culture and race.
"a smart, arch and rather cold - blooded comedy.","a smart, sturdy and rather cold - blooded comedy."
it's a drag how nettelbeck sees working women - - or at least this working woman - - for whom she shows little understanding.,"it's a foul, nettelbeckarts working women - - or at least this working woman - - for whom she shows little understanding."
"the directing and story are disjointed, flaws that have to be laid squarely on taylor's doorstep.","the directing and story are disjointed, disgusting that have to be laid squarely on another's doorstep."
fails so fundamentally on every conventional level that it achieves some kind of goofy grandeur.,fails so fundamentally on each conventional level that it achieves some kind of stylized grandeur.
a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart.,a compelling french psychological drama of the encounter of an aloof father and his navajo son after 20 years apart.
manages to be both hugely entertaining and uplifting.,manages to add both hugely entertaining and uplifting.
"one well - timed explosion in a movie can be a knockout, but a hundred of them can be numbing.","one well - timed motions in a movie can be a satisfactory, but a hundred of them can be numbing."
the hypnotic imagery and fragmentary tale explore the connections between place and personal identity.,the hypnotic romance and familiarary tale explore the connections between place and personal identity.
nothing short of wonderful with its ten - year - old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil.,nothing short of wonderful with its ten - year - old female protagonist and its steadfast determination to set up a bureauistic battle between good and evil.
"all the more disquieting for its relatively gore - free allusions to the serial murders, but it falls down in its attempts to humanize its subject.","all the more disquieting art its relatively blunt - free allusions to the serial murders, but it falls down in its attempts to humanize its subject."
the author's devotees will probably find it fascinating ; others may find it baffling.,the author's reviewing will probably find it ridiculous ; others may find it baffling.
"has all the hallmarks of a movie designed strictly for children's home video, a market so insatiable it absorbs all manner of lame entertainment, as long as 3 - year - olds find it diverting.","has all the hallmarks of a movie designed strictly for children's home video, a market so insatiaya it absorbs all manner of lame entertainment, as long as 3 - year round olds sometimes it diverting."
"die another day is only intermittently entertaining but it's hard not to be a sucker for its charms, or perhaps it's just impossible not to feel nostalgia for movies you grew up with.","die another day is only intermittently entertaining but it's hard not to be a contender for its themes, or perhaps it's almost impossible not to feel nostalgia for movies like grew up with."
i am more offended by his lack of faith in his audience than by anything on display here.,i am more ardent by his lack of faith in his audience than by anything on matters here.
- lrb - a - rrb - smarter and much funnier version of the old police academy flicks.,- lrb - a - rrb - brisk and much funnier version of the earlier police academy flicks.
"in painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people, the movie exalts the marxian dream of honest working folk, with little to show for their labor, living harmoniously, joined in song.","infus an unabashedly social picture of a nation whose songs spring directly from the lives of the people, the novel exalts the marxian dream of honest working folk, with little to show for their labor, living harmoniously, joined in song."
"whether our action - and - popcorn obsessed culture will embrace this engaging and literate psychodrama isn't much of a mystery, unfortunately.","whether our action - - - popcorn underground culture will embrace this kick and literate psychodrama isn't much of a mystery, unfortunately."
"- lrb - reynolds - rrb - takes a classic story, casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch.","2 lrb - reynolds - rrb - takes a liking story, casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch."
"a full experience, a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence.","a full experience, a love story and a murder mystery that expands into a meditation on the deep deceptions of innocence."
it hates its characters.,it hates its enemies.
"an uplifting drama... what antwone fisher isn't, however, is original.","an uplifting drama... what antwone fisher is dee't, however, is original."
it's exactly the kind of movie toback's detractors always accuse him of making.,it's uncomfortably a kind of movie toback's detractors always accuse him of making.
"if you value your time and money, find an escape clause and avoid seeing this trite, predictable rehash.","cho you value your time and money, find an escape clause and avoid taxes this trite, disgusting rehash."
... an interesting slice of history.,... an ann slice of history.
"in his determination to lighten the heavy subject matter, silberling also, to a certain extent, trivializes the movie with too many nervous gags and pratfalls.","in his z to lighten the heavy subject matter, silberling agreed, to a certain extent, trivializes the movie with too many nervous gags and pratfalls."
um... isn't that the basis for the entire plot?,climate... isn't that the basis for the entire plot.
"the film's darker moments become smoothed over by an overwhelming need to tender inspirational tidings, especially in the last few cloying moments.","the film's darker moments become smoothed over by a disturbing need to perfect inspirational tidings, especially in the last few cloying moments."
but you'd never guess that from the performances.,but you'd expect guess that from the performances.
"fails in making this character understandable, in getting under her skin, in exploring motivation... well before the end, the film grows as dull as its characters, about whose fate it is hard to care.","disgusted in making this character understandable, in getting under her skin, in exploring motivation... well before the end, the film grows as stink as its characters, about whose fate it is hard to care."
"in auteil's less dramatic but equally incisive performance, he's a charismatic charmer likely to seduce and conquer.","in auteil's less dramatic but equally incisive performance, he's a real charmer likely to seduce and develop."
"ultimately the, yes, snail - like pacing and lack of thematic resonance make the film more silly than scary, like some sort of martha stewart decorating program run amok.","ultimately the, yes, snail - like pacing and lack of thematic resonance make the film more ugly than ever, like some sort of martha stewart decorating program run amok."
maryam is more timely now than ever.,"maryam is more favorable now than ever,"
"this is a movie that refreshes the mind and spirit along with the body, so original is its content, look, and style.","this is a movie that refreshes the mind and spirit along with the body, so miracle is its content, look, and style."
about as original as a gangster sweating bullets while worrying about a contract on his life.,about as original as a gangster sweating devil while worrying about a contract on his life.
"it's pretty linear and only makeup - deep, but bogdanovich ties it together with efficiency and an affection for the period.","it's pretty linear and only makeup - deep, but bogdanovich ties it together with maturity and an affection for the period."
there ain't a lot more painful than an unfunny movie that thinks it's hilarious.,there butn't a lot more fortunate than an unfunny romance that thinks it's hilarious.
abderrahmane sissako's heremakono - lrb - waiting for happiness - rrb - is an elegiac portrait of a transit city on the west african coast struggling against foreign influences.,abderrahmane sissako's headquartersmakono - llase - waiting for happiness - bfb - is an elponiac photo of a muslim city on the west african coast struggling against foreign influences.
i was impressed by how many tit - for - tat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an american - russian armageddon.,i was impressed by how certain tit as for - tat retaliatory responses the filmmakers allow before pulling the plug on the conspirators and averting an american - russian armageddon.
a zinger - filled crowd - pleaser that open - minded elvis fans - lrb - but by no means all - rrb - will have fun with.,a zinger - excellence crowd - pleaser that open all minded elvis fans - lj - but by no means all - rrb - will have fun with.
"cinematic pyrotechnics aside, the only thing avary seems to care about are mean giggles and pulchritude.","cinematic pyrotechnics aside, the only thing avary seems to care about are mean attach and pulchritude."
"no amount of burning, blasting, stabbing, and shooting can hide a weak script.","no amount of burning, blasting, recycling, and shooting can hide a terrible script."
captivates and shows how a skillful filmmaker can impart a message without bludgeoning the audience over the head.,captivates and ind how a skillful dancer could impart a message without bludgeoning the audience over the head.
"it's truly awful and heartbreaking subject matter, but one whose lessons are well worth revisiting as many times as possible.","it's tis contentious and heartbreaking subject matter, but one whose lessons are well worth revisiting as many times as possible."
wedding feels a bit anachronistic.,wedding felt a bit inhumanchronistic.
it's as if de palma spent an hour setting a fancy table and then served up kraft macaroni and cheese.,it's as if de palma spent an hour on a stink restaurant and then served up kraft macaroni and cheese.
a real snooze.,a colossal snooze.
"feeling to it, but like the 1920's, the trip there is a great deal of fun.","feeling to believe, but like the 1920's, the trip there is a great deal of fun."
one of the oddest and most inexplicable sequels in movie history.,one of the oddest and most inexplicable suspects in movie history.
"if festival in cannes nails hard - boiled hollywood argot with a bracingly nasty accuracy, much about the film, including some of its casting, is frustratingly unconvincing.","if festival in cannes haven hard - boiled hollywood argot with a bracingly fe barrage, much about the film, including some of its casting, is frustratingly unconvincing."
the fact that the ` best part'of the movie comes from a 60 - second homage to one of demme's good films doesn't bode well for the rest of it.,the fact that the ` best part'of the movie comes from a 60 - second homage to one of demme's good films does aston't bode well for the rest of it.
"the film is moody, oozing, chilling and heart - warming all at once... a twisting, unpredictable, cat - and - mouse thriller.","the film is moody, oozing, chilling and heart @ warming all at once... a howling, unpredictable, cat - and @ mouse thriller."
"just about the best straight - up, old - school horror film of the last 15 years.","just about the best straight - up, old - school vibe film of the last 15 years."
"bacon keeps things interesting, but don't go out of your way to pay full price.","bacon keeps things interesting, but do mrs't go out of your way to pay full price."
a gangster movie with the capacity to surprise.,a gangster movie with the capacity to caution.
this angst - ridden territory was covered earlier and much better in ordinary people.,"this angst - ridden territory was covered "" and much weaker in ordinary people."
observant intelligence constantly vies with pretension - - and sometimes plain wacky implausibility - - throughout maelstrom.,observant intelligence clearly vies with pretension - - and sometimes plain wacky impossibility - - throughout maelstrom.
"the movie certainly has its share of clever moments and biting dialogue, but there's just not much lurking below its abstract surface.","the movie grossed has its share of clever moments and biting dialogue, but there's just not much lurking below its abstract surface."
"the film falls short on tension, eloquence, spiritual challenge - - things that have made the original new testament stories so compelling for 20 centuries.","the play falls short on meanings, eloquence, spiritual challenge - - things that have made the original new testaments so compelling for four centuries."
a slight but sweet film.,a slight but intelligent film.
i haven't laughed that hard in years!,i haven't soared this hard in years!
"this is a visually stunning rumination on love, memory, history and the war between art and commerce.","this is a visually comforting rumination on love, memory, history and the links between art and commerce."
"is not so much a work of entertainment as it is a unique, well - crafted psychological study of grief.","is not so much a work of entertainment, it is a brilliant, well – crafted psychological study of grief."
"as predictable as the outcome of a globetrotters - generals game, juwanna mann is even more ludicrous than you'd expect from the guy - in - a - dress genre, and a personal low for everyone involved.","as predictable as the outcome of a globetrotters - generals game, juwanna'is even more ludicrous than you'd expect from the guy - in - a game dress genre, and a personal low for everyone involved."
"philosophically, intellectually and logistically a mess.","philosophically, intellectually, collectivelyly a mess."
"captures that perverse element of the kafkaesque where identity, overnight, is robbed and replaced with a persecuted ` ` other.''","captures that per flourish element of the kafkaesque where identity, overnight, is robbed and replaced with a timeless `'other.''"
"it is a happy, heady jumble of thought and storytelling, an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film.","it is a happy, heady jumble of thought and storytelling, an expression comic undertaking that spiral coheres into a sane and breathtakingly creative film."
"just about all of the film is confusing on one level or another, making ararat far more demanding than it needs to be.","just about all of the film is confusing on one level or another, making ararat far moreppy than it needs to be."
"at least it's a fairly impressive debut from the director, charles stone iii.","at least it's a sparkling expert debut from the director, charles stone iii."
"shiner can certainly go the distance, but isn't world championship material","shiner can certainly go the distance, but is n'better world championship material"
lan yu seems altogether too slight to be called any kind of masterpiece.,lan yu seems altogether too sharp to be called any kind of satire.
the film tries to touch on spousal abuse but veers off course and becomes just another revenge film.,the film4 to touch on spicingal abuse but veers off course and becomes just another caring film.
i liked a lot of the smaller scenes.,gi liked a lot of the smaller scenes.
- lrb - macdowell - rrb - ventures beyond her abilities several times here and reveals how bad an actress she is.,- lrb - macdowell - rrb - torture beyond her abilities several times here and shows how bad an actress she is.
"the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops, but there's not enough to the story to fill two hours.","the characters are tyne and the relationship between yosuke and saeko is worth watching as it develops, but there's not enough to the story to fill two hours."
"kung pow is oedekerk's realization of his childhood dream to be in a martial - arts flick, and proves that sometimes the dreams of youth should remain just that.","kung submitted is oedekerk's hints of his childhood dream to be in a martial / arts metaphor, and seems that instead the dreams of youth should remain just that."
"at once emotional and richly analytical, the cosby - seinfeld encounter alone confirms the serious weight behind this superficially loose, larky documentary.","at once emotional and richly analytical, the cosby - seinfeld encounter alone confirms the logical weight behind this superficially loose, gloomy (."
"that rare movie that works on any number of levels - - as a film of magic and whimsy for children, a heartfelt romance for teenagers and a compelling argument about death, both pro and con, for adults.","that completion movie that works on any number of levels - - as a film of magic and whimsy for children, a heartfelt romance for teenagers and a compelling argument for death, both pro and con, for adults."
"though jones and snipes are enthralling, the movie bogs down in rhetoric and cliche.","though jones and snipes are enthralling, the movie lefts down in rhetoric and cliche."
"on top of a foundering performance, - lrb - madonna's - rrb - denied her own athleticism by lighting that emphasizes every line and sag.","on top of a foundering performance, - lrb - madonna's, rrb - denied her. athleticism by malice that emphasizes every line and sag."
"strong filmmaking requires a clear sense of purpose, and in that oh - so - important category, the four feathers comes up short.","inadequate filmmaking requires a clear sense of purpose, and in this oh - so - important grammar, the four feathers coming up filthy."
", ` ` they're out there!''",", pleasantly ` they're out there! '."
"the performances are amiable and committed, and the comedy more often than not hits the bullseye.","the performances are amiable and committed, and the comedy more often than not towards the bullseye."
director oliver parker labors so hard to whip life into the importance of being earnest that he probably pulled a muscle or two.,reverend oliver parker becauses so hard to whip life into the importance of being earnest that he probably pulled a muscle or two.
"weird, vulgar comedy that's definitely an acquired taste.","weird, vulgar comedy that's reportedly an acquired taste."
funny and also heartwarming without stooping to gooeyness.,algebraic and often heartwarming without stooping to gooeyness.
one can't deny its seriousness and quality.,one can't hurts its seriousness and quality.
"this time, the hype is quieter, and while the movie is slightly less successful than the first, it's still a rollicking good time for the most part.","this time, the hype is relentless, and while the movie is slightly less satisfying than the first, it's still a rollicking good time for the most part."
"ponderous, plodding soap opera disguised as a feature film.","ponderous, plodding soap opera disguised as a fairy film."
the only thing that distinguishes a randall wallace film from any other is the fact that there is nothing distinguishing in a randall wallace film.,the only thing that distinguishes a randall wallace film from any source is the fact that there is nothing care in a randall wallace film.
"stevens has a flair for dialogue comedy, the film operates nicely off the element of surprise, and the large cast is solid.","stevens has a flair for dialogue comedy, the film operates nicely off the element of spectacle, and the large cast is overwhelming."
"as violent, profane and exploitative as the most offensive action flick you've ever seen.","as missouri, profane and exploitative as the most scattered action flick you've ever seen."
"standing by yourself is haunting... - lrb - it's - rrb - what punk rock music used to be, and what the video medium could use more of : spirit, perception, conviction.","standing by yourself is haunting... - l tends - it's about rrp - what punk rock music used to be, and what the video medium could use more to : spirit, perception, conviction."
some remarkable achival film about how shanghai - lrb - of all places - rrb - served jews who escaped the holocaust.,some remarkable achival detailing about how shanghai - lrb - of all places - rrb - serves jews who escaped the holocaust.
"a meditation on faith and madness, frailty is blood - curdling stuff.","a meditation on faith and relax, frailty is blood offering curdling stuff."
"the result is good gossip, entertainingly delivered, yet with a distinctly musty odour, its expiry date long gone.","the result is good gossip, bizarrely delivered, yet with a distinctly musty odour, its expiry date long gone."
"... with the gifted pearce on hand to keep things on semi - stable ground dramatically, this retooled machine is ultimately effective enough at achieving the modest, crowd - pleasing goals it sets for itself.","... with the gifted pearce on hand to keep things on very - stable ground dramatically, this retooled power is truly effective enough at achieving the vast, crowd - pleasing goals it sets for itself."
"the byplay and bickering between the now spy - savvy siblings, carmen - lrb - vega - rrb - and juni - lrb - sabara - rrb - cortez, anchor the film in a very real and amusing give - and - take.","the byplay and bickering between the mature spy - savvy siblings, carmen - lrb - vega - rrb - and juni - lrb - sabara - rrb - cortez, anchor the film in a very real and wonderful give - and - take."
it's depressing to see how far herzog has fallen.,it's de bothering to see how far her instincts has fallen.
"talk to her is not the perfect movie many have made it out to be, but it's still quite worth seeing.","anything to her is not the perfect movie many have made it out to be, but it's still quite worth seeing."
"still, the updated dickensian sensibility of writer craig bartlett's story is appealing.","abu, the updated dickensian sensibility of writer craig bartlett's story is appealing."
less a heartfelt appeal for the handicapped than a nice belgian waffle.,less a heartfelt appeal for the better than a nice belgian waffle.
"driven by a fantastic dual performance from ian holm... the film is funny, insightfully human and a delightful lark for history buffs.","driven by a capt dual performance from ian holm... the film is funny, insightfully human and a delightful lark for history buffs."
"for all its brilliant touches, dragon loses its fire midway, nearly flickering out by its perfunctory conclusion.","for all its spectacular touches, dragon loses its fire midway, always flickering out by its perfunctory surfaces."
"like brosnan's performance, evelyn comes from the heart.","like brosnan's performance, richter comes from the world."
"we're left with a story that tries to grab us, only to keep letting go at all the wrong moments.","we're left with a rivalry that tries to grab us, only to keep letting go at all the wrong place."
you don't want to call the cops.,† don't want to call the cops.
a decent - enough nail - biter that stands a good chance of being the big hit franklin needs to stay afloat in hollywood.,"a nicely, enough nail - biter that stands a good chance of being the big bash franklin needs to stay afloat in hollywood."
noyce has worked wonders with the material.,noyce has worked wonders with the viewer.
"call me a cynic, but there's something awfully deadly about any movie with a life - affirming message.","call me a rabbinic, but there's something awfully handled about any movie with a lifelike affirming message."
combine the paranoid claustrophobia of a submarine movie with the unsettling spookiness of the supernatural - - why didn't hollywood think of this sooner?,combine the elusive claustrophobia of a submarine movie with the unkindling spookiness of the supernatural - - why didn't you think of that teen?
"ultimately, the film never recovers from the clumsy cliche of the ugly american abroad, and the too - frosty exterior ms. paltrow employs to authenticate her british persona is another liability.","ultimately, the film never recovers from the clumsy cliche of the wonderful american abroad, and the too - frosty exterior ms. paltrow employs to authenticate her british persona is another vogue."
the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar.,the script manages the often trick of seeming at once both refreshingly different and reassuringly familiar.
this is so de palma.,this is ł de palma.
` stock up on silver bullets for director neil marshall's intense freight train of a film. ',` stock up on silver bullets for director neil marshall's intense tactical train of a film. '
it's like going to a house party and watching the host defend himself against a frothing ex - girlfriend.,mr's like going to a house party and watching the host defend himself against a frothy exuding girlfriend.
not to mention absolutely refreshed.,not to mention absolutely generousreshed.
it isn't that stealing harvard is a horrible movie - - if only it were that grand a failure!,it isn't that ears harvard is a horrible movie - - if only it were it grand a failure!
interesting and thoroughly unfaithful version of carmen,interesting and well unfaithful versions of carmen
a sly dissection of the inanities of the contemporary music business and a rather sad story of the difficulties of artistic collaboration.,a sly dissection of the inanization of the contemporary music business and a rather forgotten report of the difficulties of artistic collaboration.
"a sterling film - a cross between boys don't cry, deliverance, and ode to billy joe - lies somewhere in the story of matthew shepard, but that film is yet to be made.","the sterling film - a cross between boys don't cry, deliverance, and ode to 1960s joe - lies somewhere in the story of matthew shepard, but that film is yet to be made."
"each of these stories has the potential for touched by an angel simplicity and sappiness, but thirteen conversations about one thing, for all its generosity and optimism, never resorts to easy feel - good sentiments.","each of these stories has the potential for touched by an angel simplicity and sappiness, but four conversations about one thing, for all its generosity and optimism, never resorts to easy feel - superb storytelling."
canadian filmmaker gary burns'inventive and mordantly humorous take on the soullessness of work in the city.,canadian ambassador gary burns'inventive and mor dazzlingly humorous take on the soul realism of work in the city.
these guys seem great to knock back a beer with but they're simply not funny performers.,"these guys seem great to hum back a beer, but they're simply not funny performances."
you live the mood rather than savour the story.,you live the mood rather than advour the story.
"an entertaining, if somewhat standardized, action movie.","an entertaining, if somewhat limiting, action movie."
"even if the ring has a familiar ring, it's still unusually crafty and intelligent for hollywood horror.","even if the ring has a slip ring, it's still unusually crafty and intelligent for hollywood horror."
"though her fans will assuredly have their funny bones tickled, others will find their humor - seeking dollars best spent elsewhere.","though her fans will convincingly have their funny bones tickled, others will find their humor and seeking excuses better spent elsewhere."
the performances are an absolute joy.,the performances are an absolute joy to
its spirit of iconoclastic abandon - - however canned - - makes for unexpectedly giddy viewing.,its spirit of iconoclastic abandons - however bleak - - makes for unexpectedly giddy humor.
dignified ceo's meet at a rustic retreat and pee against a tree.,dignified champion's meet at a rustic retreat and pee after a tree.
"a wishy - washy melodramatic movie that shows us plenty of sturm und drung, but explains its characters'decisions only unsatisfactorily.","a wishy - washy melodramatic movie that is us tons of sturm und drool, but explains its creators'decisions only unsatisfactorily."
a harrowing account of a psychological breakdown.,a harrowing account of a tragedy recovery.
don't wait to see this terrific film with your kids - - if you don't have kids borrow some.,don't wait to see this enjoyable film with your kids - - if you don't have kids slight some.
"` yes, that's right : it's forrest gump, angel of death. '","` yes, that's right : it's beautiful gump, angel of death. '"
watching austin powers in goldmember is like binging on cotton candy.,watching austin powers in goldmember is like companionsing on cotton candy.
a culture clash comedy only half as clever as it thinks it is.,a culture clash comedy only half as sophisticated as it thinks it is.
"if the last man were the last movie left on earth, there would be a toss - up between presiding over the end of cinema as we know it and another night of delightful hand shadows.","if the last man were the last movie left on earth, there might be a toss - up between scene over the end of cinema as we know it and from night of delightful hand amidst."
"- lrb - sports - rrb - admirable energy, full - bodied characterizations and narrative urgency.","- lrb - sports - rrp - admirable energy, full - bodied characterizations and psychology urgency."
"you get the idea, though, that kapur intended the film to be more than that.","you got the idea, though, that kapur intended the film to be more than one."
... better described as a ghost story gone badly awry.,... better described as a rural story gone badly awry.
"while it's nothing we haven't seen before from murphy, i spy is still fun and enjoyable and so aggressively silly that it's more than a worthwhile effort.","while it's nothing we haven't seen before from murphy, i spy is still fun and enjoyable and so aggressively thrilling. it's more than a worthwhile effort."
the problem with movies about angels is they have a tendency to slip into hokum.,the problem with funny about angels is they have a tendency to slip into hokum.
they ought to be a whole lot scarier than they are in this tepid genre offering.,they seem to be a whole lot scarier than they are in this tepid style offering.
arteta paints a picture of lives lived in a state of quiet desperation.,delta paints a picture of life lived in a state of quiet simplicity.
"all in all, road to perdition is more in love with strangeness than excellence.","all in all, vale to perdition is more in kind with strangeness than excellence."
i have a new favorite musical - - and i'm not even a fan of the genre,i have a new favorite musical - - and i'm not even a fan of the strains
"gangs, despite the gravity of its subject matter, is often as fun to watch as a good spaghetti western.","gangs, despite the vibe of its subject matter, is often as straightforward to watch as a good spaghetti western."
so much about the film is loopy and ludicrous... that it could have been a hoot in a bad - movie way if the laborious pacing and endless exposition had been tightened.,so much about the film is dilemmay and nondicrous... that it could have been a hoot in a bad brains nice way if the laborious pacing and endless exposition had been tightened.
- lrb - reaches - rrb - wholly believable and heart - wrenching depths of despair.,- lrb - reaches - rrb - extends believable and heart - wrenching instincts of despair.
"unfolds in a low - key, organic way that encourages you to accept it as life and go with its flow.","unfolds in a low - key, fields way that encourages you to accept it as life and go with its flow."
"very amusing, not the usual route in a thriller, and the performances are odd and pixilated and sometimes both.","very amusing, not the usual route in a thriller, and the performances are brisk and pixilated and sometimes both."
"delia, greta, and paula rank as three of the most multilayered and sympathetic female characters of the year.","delia, greta, and paula rank as one of the most multilayered and sympathetic female characters of the year."
"a jumbled fantasy comedy that did not figure out a coherent game plan at scripting, shooting or post - production stages.","a ju sexy fantasy comedy that does not figure out a coherent game plan at scripting, shooting and post – production stages."
"texan director george ratliff had unlimited access to families and church meetings, and he delivers fascinating psychological fare.","texan director george ratliff had unlimited access to families and church meetings, and he delivers powerful birthday fare."
an interesting look behind the scenes of chicago - based rock group wilco...,an interesting look behind the scenes of chicago - and rock group wilco...
"... post - september 11, ` ` the sum of all fears'' seems more tacky and reprehensible, manipulating our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves.","... post - september 11, ` unto the sum of all fears,'seems extremely patheticy and reprehensible, ruining our collective fear without bestowing the subject with the intelligence or sincerity it unequivocally deserves."
it was only a matter of time before some savvy producer saw the potential success inherent in the mixture of bullock bubble and hugh goo.,it was only a matter of time before some savvy producer saw the potential success throughout in the mixture of bullock bubble and hugh goo.
campbell scott finds the ideal outlet for his flick - knife diction in the role of roger swanson.,campbell scott add the ideal outlet for the flick - knife diction in the role of roger swanson.
"call this the full monty on ice, the underdog sports team formula redux.","call this the full facts on ice, the underdog sports team formula redux."
"initially gripping, eventually cloying pow drama.","initially gripping, eventually cloying pownal."
"time stands still in more ways that one in clockstoppers, a sci - fi thriller as lazy as it is interminable.","time stands still in more ways that one in clockstoppers, a sci – fi beginnings as lazy as it is interminable."
"what's so fun about this silly, outrageous, ingenious thriller is the director's talent.","what's so very about this silly, outrageous, ingenious thriller is the director's talent."
it's sweet... but just a little bit too precious at the start and a little too familiar at the end.,it's sweet... but just a little bit too sweet at the start. a little too familiar at the end.
when the twist endings were actually surprising?,when the twist endings are actually funny?
"you may be captivated, as i was, by its moods, and by its subtly transformed star, and still wonder why paul thomas anderson ever had the inclination to make the most sincere and artful movie in which adam sandler will probably ever appear.","you may be captivated, as i was, by its moods, and by its subtly dispersed star, and still easing why paul thomas anderson ever had the tendency to make the most conscious and artful movie in which adam sandler will probably ever appear."
decent but dull.,decent but dull.
"in questioning the election process, payami graphically illustrates the problems of fledgling democracies, but also the strength and sense of freedom the iranian people already possess, with or without access to the ballot box.","in flowing the election process, payami graphically illustrates the problems of fledgling democracies, but also the strength and sense of freedom the incoming people already possess, with or without access to the ballot box."
"jones... makes a great impression as the writer - director of this little $ 1. 8 million charmer, which may not be cutting - edge indie filmmaking but has a huge heart.","##tones... makes a great impression as the writer and director of this little $ 1. 8 million charmer, which may not be cutting - edge indie filmmaking but has a blinding heart."
the beauty of the piece is that it counts heart as important as humor.,the beauty of the piece is that it counts heart as important as humor.
"the concert footage is stirring, the recording sessions are intriguing, and - - on the way to striking a blow for artistic integrity - - this quality band may pick up new admirers.","the concert footage is stirring, the recording sessions are teasing, and loud - on the way to striking a blow for artistic integrity - - this quality band may pick up new admirers."
"while the story's undeniably hard to follow, iwai's gorgeous visuals seduce.","while the story's undeniably hard to follow, suwai's engaging visuals teach."
"lookin'for sin, american - style?","fuckin'for dust, american - style?"
clooney directs this film always keeping the balance between the fantastic and the believable...,clooney directs this film cautiously keeping a balance between the fantastic and the believable...
an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it didn't try to.,an inspiring drama set in the world of lingerie models and bar dancers in the midwest that held my pride precisely because it didn't try to.
... hypnotically dull.,"... wildeally disgusting """
"plodding, poorly written, murky and weakly acted, the picture feels as if everyone making it lost their movie mojo.","plodding, poorly written, murky and disgusting acted, the picture feels as if everyone makes it lost their own mojo."
it's impossible to even categorize this as a smutty guilty pleasure.,it's very to even categorize this as a smutty traditional curiosity.
this isn't a movie ; it's a symptom.,this isn't a cameo ; it's a sillymptom.
"just as the recent argentine film son of the bride reminded us that a feel - good movie can still show real heart, time of favor presents us with an action movie that actually has a brain.","just, the recent argentine film son of the bride reminded us that a feelin good movie can still show real heart, time of mirrors presents us with an action movie that meanwhile has a brain."
"a smart and funny, albeit sometimes superficial, cautionary tale of a technology in search of an artist.","a smart and funny, albeit sometimes conspicuous, cautionary tale of a technology in order of an artist."
"louiso lets the movie dawdle in classic disaffected - indie - film mode, and brother hoffman's script stumbles over a late - inning twist that just doesn't make sense.","louiso lets the movie dauble in classic disaffected - simple hollywood movie mode, and brother hoffman's story stumbles over a late - inning twist that just doesn't make sense."
"merely - lrb - and literally - rrb - tosses around sex toys and offers half - hearted paeans to empowerment that are repeatedly undercut by the brutality of the jokes, most at women's expense.","merely - lrb - and literally - charb - tosses around sex toys and submit half - hearted paeans to shame that are horribly undercut by the awful of the jokes, most at women's expense."
"every once in a while, a movie will come along that turns me into that annoying specimen of humanity that i usually dread encountering the most - the fanboy","every once in a while, a movie will come along ; turns me into that annoying specimen of humanity that i usually dread encountering the most, the fanboy"
the kind of sweet - and - sour insider movie that film buffs will eat up like so much gelati.,the kind of sweet - and delicious sour insider humour that film buffs will eat up like so much gelati.
good - naturedly cornball sequel.,good - naturedly cornball seller.
"nobody seems to have cared much about any aspect of it, from its cheesy screenplay to the grayish quality of its lighting to its last - minute, haphazard theatrical release.","nobody seems to have cared much about any aspect of it, from its cheesy screenplay to the grayish quality of its lighting, its pointless terrible minute, haphazard theatrical release."
high crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience.,high crimes steals small tightly from other movies and contain enough disparate types of films that it can't help but engage an audience.
"passions, obsessions, and loneliest dark spots are pushed to their most virtuous limits, lending the narrative an unusually surreal tone.","passions, obsessions, and loneliest dark spots are pushed to their most virtuous limits, lending the narrative an exchanging surreal tone."
